x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
-4.70525,8.13148,2.31647,-5.57542,7.89872,2.25075
-4.65193,8.16893,2.31084,-5.50864,7.93486,2.24789
-4.5986,8.20637,2.30521,-5.43255,7.97722,2.24421
-4.54528,8.24382,2.29958,-5.36863,8.01369,2.2405
-4.49195,8.28126,2.29395,-5.3061,8.05012,2.23652
-4.43863,8.3187,2.28833,-5.24165,8.08659,2.23245
-4.38531,8.35615,2.2827,-5.17551,8.12316,2.22822
-4.33198,8.39359,2.27707,-5.10006,8.16576,2.22269
-4.27866,8.43104,2.27144,-5.03646,8.20229,2.2175
-4.22533,8.46848,2.26581,-4.97367,8.23881,2.21212
-4.17201,8.50593,2.26019,-4.90124,8.28146,2.20579
-4.11749,8.53797,2.25475,-4.83975,8.31809,2.20005
-4.05329,8.5261,2.25083,-4.77906,8.35455,2.19413
-3.9891,8.51424,2.24692,-4.71603,8.38998,2.18802
-3.9249,8.50237,2.24301,-4.64004,8.4295,2.18135
-3.8607,8.49051,2.2391,-4.57553,8.46173,2.17537
-3.79651,8.47865,2.23518,-4.51125,8.49166,2.16976
-3.73231,8.46678,2.23127,-4.43579,8.52243,2.16308
-3.66811,8.45492,2.22736,-4.37028,8.54443,2.15674
-3.60392,8.44305,2.22345,-4.30411,8.56193,2.14992
-3.53972,8.43119,2.21953,-4.23721,8.57478,2.14271
-3.47552,8.41933,2.21562,-4.15687,8.59046,2.13395
-3.41133,8.40746,2.21171,-4.09839,8.60065,2.12751
-3.34713,8.3956,2.2078,-4.01618,8.60863,2.11856
-3.28293,8.38373,2.20388,-3.94522,8.60984,2.11162
-3.21874,8.37187,2.19997,-3.8739,8.60606,2.10554
-3.15454,8.36,2.19606,-3.80257,8.59759,2.1003
-3.09035,8.34814,2.19215,-3.71925,8.58241,2.09481
-3.02615,8.33628,2.18823,-3.64798,8.56543,2.09001
-2.96195,8.32441,2.18432,-3.57381,8.5497,2.08553
-2.89776,8.31255,2.18041,-3.4974,8.53519,2.08135
-2.83356,8.30068,2.17649,-3.40965,8.51526,2.07687
-2.76936,8.28882,2.17258,-3.3358,8.49642,2.07294
-2.70517,8.27696,2.16867,-3.26333,8.47663,2.06931
-2.64097,8.26509,2.16476,-3.18058,8.45292,2.06555
-2.57677,8.25323,2.16084,-3.11113,8.4323,2.06225
-2.51258,8.24136,2.15693,-3.04325,8.41174,2.05896
-2.44838,8.2295,2.15302,-2.96076,8.38594,2.05571
-2.38418,8.21764,2.14911,-2.90054,8.36688,2.05316
-2.31999,8.20577,2.14519,-2.81843,8.34137,2.05033
-2.25579,8.19391,2.14128,-2.74956,8.3206,2.04826
-2.19159,8.18204,2.13737,-2.67065,8.29781,2.04678
-2.1274,8.17018,2.13346,-2.60416,8.27959,2.04581
-2.0632,8.15832,2.12954,-2.53862,8.26264,2.04511
-1.999,8.14645,2.12563,-2.47406,8.24692,2.04446
-1.93481,8.13459,2.12172,-2.39562,8.22516,2.04293
-1.87061,8.12272,2.11781,-2.32703,8.20503,2.04089
-1.80641,8.11086,2.11389,-2.25961,8.18634,2.0386
-1.74222,8.099,2.10998,-2.19305,8.16897,2.03635
-1.67802,8.08713,2.10607,-2.12713,8.15276,2.03371
-1.61382,8.07527,2.10215,-2.051,8.13525,2.03019
-1.54963,8.0634,2.09824,-1.98633,8.12145,2.0267
-1.48543,8.05154,2.09433,-1.9222,8.10872,2.02307
-1.42123,8.03968,2.09042,-1.85573,8.0938,2.01943
-1.35704,8.02781,2.0865,-1.77744,8.07601,2.01523
-1.29284,8.01595,2.08259,-1.7111,8.06178,2.01134
-1.22864,8.00408,2.07868,-1.64548,8.04836,2.00741
-1.16445,7.99222,2.07477,-1.56964,8.03356,2.00278
-1.10025,7.98035,2.07085,-1.50518,8.02148,1.99855
-1.03605,7.96849,2.06694,-1.44141,8.00995,1.99418
-0.971857,7.95663,2.06303,-1.37822,7.99889,1.99007
-0.90766,7.94476,2.05912,-1.30221,7.98483,1.98517
-0.843463,7.9329,2.0552,-1.23682,7.97266,1.98085
-0.779267,7.92103,2.05129,-1.17202,7.96078,1.97649
-0.71507,7.90917,2.04738,-1.10764,7.94908,1.97253
-0.650874,7.89731,2.04347,-1.03283,7.93548,1.9677
